Dates,Dem_trifecta,Rep_Trifecta,None
2021-12-04,27.69,27.19,47.40
2021-12-05,27.06,27.64,46.87
2021-12-06,32.49,29.78,51.45
2021-12-07,33.24,29.57,51.55
2021-12-08,33.08,29.52,51.12
2021-12-09,32.56,29.91,49.93
2021-12-10,32.35,28.96,49.02
2021-12-11,32.28,28.58,49.17
2021-12-12,32.27,28.34,49.62
2021-12-13,32.16,28.19,49.86
2021-12-14,31.94,28.28,49.09
2021-12-15,32.61,29.02,48.93
2021-12-16,33.08,29.84,49.63
2021-12-17,34.37,31.22,49.12
2021-12-18,35.30,32.83,49.24
2021-12-19,36.32,34.60,49.43
2021-12-20,39.89,37.60,50.40
2021-12-21,42.15,41.12,52.53
2021-12-22,45.99,44.76,55.47
2021-12-23,51.71,49.36,57.53
2021-12-24,57.34,52.52,59.39
2021-12-25,58.77,53.20,61.21
2021-12-26,63.02,56.90,61.90
2021-12-27,67.59,65.37,70.70
2021-12-28,76.72,71.99,75.51
2021-12-29,84.68,81.31,86.96
2021-12-30,97.25,93.19,99.25
2021-12-31,109.40,101.37,108.97
2022-01-01,117.44,110.44,115.25
2022-01-02,120.08,119.33,119.70
2022-01-03,135.45,138.56,143.84
2022-01-04,156.49,149.03,156.52
2022-01-05,167.66,159.01,165.75
2022-01-06,177.14,167.22,175.79
2022-01-07,192.52,182.78,194.52
2022-01-08,195.24,192.97,198.99
2022-01-09,199.78,194.53,204.11
2022-01-10,237.62,195.30,216.34
2022-01-11,237.40,201.54,221.85
2022-01-12,243.10,206.90,230.02
2022-01-13,252.29,212.12,231.48
2022-01-14,248.17,214.73,232.59
2022-01-15,244.62,219.53,232.31
2022-01-16,240.20,220.65,234.99
2022-01-17,230.25,215.48,209.24
2022-01-18,223.02,219.80,223.31
2022-01-19,216.23,219.39,224.26
2022-01-20,209.72,214.82,220.95
2022-01-21,208.20,211.05,216.43
